aktualnego;aktua1nego
dziesiętnym;dziesietnym
dziewięć;dziewiec
dziewięć;dziewieć
dziewięć;dziewięc
dzięki;dzieki
długości;d1ugości
długości;d1ugosci
długości;dlugosci
długości;dfugości
długości;dlugości
długości;długosci
długości;dfugosci
długościach;dlugosciach
długościach;dfugościach
długościach;d1ugosciach
długościach;d1ugościach
długościach;długosciach
długościach;dfugosciach
długościach;dlugościach
długością;dfugościq
długością;dfugością
długością;dfugoscia
długością;d1ugościq
długością;d1ugoscią
długością;dlugoscią
długością;dlugoscia
długością;długosciq
długością;d1ugościa
długością;dlugościa
długością;dlugosciq
długością;długoscią
długością;dfugościa
długością;długoscia
długością;d1ugoscia
długością;dfugoscią
długością;dlugościq
długością;d1ugością
długością;d1ugosciq
długością;dlugością
długością;długościq
długością;długościa
długością;dfugosciq
długość;dfugosć
długość;dfugośc
długość;d1ugośc
długość;dlugość
długość;dfugosc
długość;długosć
długość;d1ugosć
długość;d1ugosc
długość;dlugośc
długość;d1ugość
długość;długośc
długość;dfugość
długość;dlugosc
długość;długosc
długość;dlugosć
dłuższa;dluzsza
dłuższa;dfuzsza
dłuższa;dłuzsza
dłuższa;dfuższa
dłuższa;d1uższa
dłuższa;d1uzsza
dłuższa;dluższa
dłuższe;d1uzsze
dłuższe;dfuzsze
dłuższe;dluższe
dłuższe;d1uższe
dłuższe;dluzsze
dłuższe;dfuższe
dłuższe;dłuzsze
dłuższego;dfuzszego
dłuższego;dłuzszego
dłuższego;dluzszego
dłuższego;dfuższego
dłuższego;dluższego
dłuższego;d1uzszego
dłuższego;d1uższego
dłuższej;d1uzszej
dłuższej;dluzszej
dłuższej;dfuzszej
dłuższej;dłuzszej
dłuższej;dluższej
dłuższej;dfuższej
dłuższej;d1uższej
dłuższy;dluzszy
dłuższy;dfuższy
dłuższy;d1uzszy
dłuższy;dluższy
dłuższy;dłuzszy
dłuższy;d1uższy
dłuższy;dfuzszy
dłuższych;dfuzszych
dłuższych;dfuższych
dłuższych;dluższych
dłuższych;dluzszych
dłuższych;dłuzszych
dłuższych;d1uzszych
dłuższych;d1uższych
dłuższym;d1uższym
dłuższym;dłuzszym
dłuższym;dfuższym
dłuższym;dluzszym
dłuższym;dluższym
dłuższym;d1uzszym
dłuższym;dfuzszym
dłuższą;dluzszq
dłuższą;dfuzsza
dłuższą;d1uższą
dłuższą;dłuzszq
dłuższą;dluższq
dłuższą;dluzsza
dłuższą;dluższą
dłuższą;d1uzszą
dłuższą;dfuższa
dłuższą;d1uższa
dłuższą;dłuższq
dłuższą;d1uzszq
dłuższą;dfuzszą
dłuższą;dłuzsza
dłuższą;d1uzsza
dłuższą;dluzszą
dłuższą;dfuzszq
dłuższą;dłuzszą
dłuższą;dfuższą
dłuższą;d1uższq
dłuższą;dfuższq
dłuższą;dluższa
ekstremalne;ekstrema1ne
elektrycznej;e1ektrycznej
element;e1ement
elementu;e1ementu
elementów;e1ementów
elementów;e1ementow
elementów;elementow
elewacji;e1ewacji
figurą;figurq
filiżanka;fi1iżanka
filiżanka;fi1izanka
filiżanka;filizanka
finale;fina1e
finalista;fina1ista
finałowe;finafowe
finałowe;fina1owe
finałowe;finalowe
florydy;f1orydy
football;footba11
football;footba1l
football;footbal1
galerią;galeriq
galerią;ga1erią
galerią;ga1eriq
galerią;ga1eria
gardła;gard1a
gardła;gardla
gardła;gardfa
gasną;gasnq
gasną;gasna
geometryczną;geometrycznq
godzinę;godzine
gorącą;goraca
gorącą;gorqcą
gorącą;gorącq
gorącą;goracą
gorącą;goracq
gorącą;gorqcq
gorącą;gorqca
graficzną;graficznq
graniastosłup;graniastos1up
graniastosłup;graniastosfup
graniastosłup;graniastoslup
graniastosłupa;graniastos1upa
graniastosłupa;graniastoslupa
graniastosłupa;graniastosfupa
graniastosłupie;graniastos1upie
graniastosłupie;graniastoslupie
graniastosłupie;graniastosfupie
graniastosłupy;graniastosfupy
graniastosłupy;graniastoslupy
graniastosłupy;graniastos1upy
graniastosłupów;graniastosłupow
graniastosłupów;graniastosfupow
graniastosłupów;graniastoslupów
graniastosłupów;graniastos1upow
graniastosłupów;graniastosfupów
graniastosłupów;graniastoslupow
graniastosłupów;graniastos1upów
granicą;granicq
grę;gre
górna;gorna
górnej;gornej
górną;gorna
górną;gornq
górną;gorną
górną;górnq
góry;gory
górę;góre
hamować;hamowac
handlową;handlowq
handlową;hand1owa
handlową;hand1ową
handlową;hand1owq
haseł;hase1
haseł;hasef
haseł;hasel
hasło;haslo
hasło;has1o
hasło;hasfo
ile;i1e
iloczyn;i1oczyn
iloczynie;i1oczynie
iloczynowi;i1oczynowi
iloraz;i1oraz
ilorazu;i1orazu
ilości;i1ości
ilości;ilosci
ilości;i1osci
ilość;ilosc
ilość;i1osć
ilość;i1ość
ilość;i1osc
ilość;ilosć
ilość;ilośc
ilość;i1ośc
ilu;i1u
iluminację;i1uminacje
iluminację;i1uminację
ilustrację;i1ustracje
ilustrację;i1ustrację
informatyków;informatykow
inną;innq
istnieją;istnieja
istnieją;istniejq
jadą;jadq
jadąc;jadac
jadąc;jadqc
jadącego;jadqcego
jadącego;jadacego
jadł;jad1
jadł;jadf
jadł;jadl
jakakolwiek;jakako1wiek
jaką;jakq
jechał;jechal
jechał;jecha1
jechał;jechaf
jechały;jechaly
jechały;jecha1y
jechały;jechafy
jednocześnie;jednoczesnie
jednokładności;jednok1adności
jednokładności;jednokfadnosci
jednokładności;jednokfadności
jednokładności;jednokladności
jednokładności;jednok1adnosci
jednokładności;jednokładnosci
jednokładności;jednokladnosci
jednorodną;jednorodnq
jednostką;jednostkq
jedności;jednosci
jedną;jednq
jeśli;jeś1i
jeśli;jesli
jeśli;jes1i
jeżdżą;jezdżq
jeżdżą;jezdzą
jeżdżą;jeżdza
jeżdżą;jezdża
jeżdżą;jezdza
jeżdżą;jezdzq
jeżdżą;jeżdżq
jeżdżą;jeżdża
jeżdżą;jezdżą
jeżdżą;jeżdzą
jeżdżą;jeżdzq
jeżeli;jeże1i
jeżeli;jezeli
jeżeli;jeze1i
jubilatów;jubi1atow
jubilatów;jubi1atów
jubilatów;jubilatow
kalkulatora;kalku1atora
kalkulatora;ka1ku1atora
kalkulatora;ka1kulatora
kamilowi;kami1owi
kapitalizacją;kapita1izacją
kapitalizacją;kapitalizacjq
kapitalizacją;kapita1izacjq
kapitalizacją;kapita1izacja
kartezjańskim;kartezjanskim
kaszel;kasze1
katów;katow
kawą;kawq
każ;kaz
każda;kazda
każde;kazde
każdego;kazdego
każdej;kazdej
każdy;kazdy
każdych;kazdych
każdym;kazdym
każdą;kazdą
każdą;każdq
każdą;kazdq
każdą;kazda
kichnął;kichnqł
kichnął;kichnq1
kichnął;kichnal
kichnął;kichną1
kichnął;kichnał
kichnął;kichnaf
kichnął;kichnąl
kichnął;kichna1
kichnął;kichnąf
kichnął;kichnqf
kichnął;kichnql
kilku;ki1ku
kilogram;ki1ogram
kilogramów;ki1ogramów
kilogramów;kilogramow
kilogramów;ki1ogramow
kilometr;ki1ometr
kilometrów;kilometrow
kilometrów;ki1ometrów
kilometrów;ki1ometrow
klifu;k1ifu
klocek;k1ocek
klocki;k1ocki
klocków;k1ocków
klocków;klockow
klocków;k1ockow
kodów;kodow
kola;ko1a
kolarz;ko1arz
kolarze;ko1arze
kolegę;ko1egę
kolegę;ko1ege
kolegę;kolege
kolejne;ko1ejne
kolejnego;ko1ejnego
kolejnej;ko1ejnej
kolejno;ko1ejno
kolejności;ko1ejnosci
kolejności;ko1ejności
kolejności;kolejnosci
kolejny;ko1ejny
kolejnych;ko1ejnych
kolejnym;ko1ejnym
kolejnymi;ko1ejnymi
kolejowej;ko1ejowej
kolor;ko1or
kolorem;ko1orem
koloru;ko1oru
kolorystyki;ko1orystyki
kolorów;ko1orów
kolorów;kolorow
kolorów;ko1orow
komputerową;komputerowq
kontroli;kontro1i
korzystając;korzystajqc
korzystając;korzystajac
korzystało;korzysta1o
korzystało;korzystalo
korzystało;korzystafo
kostką;kostkq
kosztów;kosztow
kowalski;kowa1ski
kowalskiego;kowa1skiego
koła;ko1a
koła;kofa
koło;ko1o
koło;kofo
końca;konca
końcach;koncach
końce;konce
kończy;konczy
krasnal;krasna1
krasnale;krasna1e
krawędzi;krawedzi
krawędziach;krawedziach
krawędziami;krawedziami
krawędzie;krawedzie
krawędź;krawedz
krawędź;krawędz
krawędź;krawedź
kredkę;kredke
kroków;krokow
kropelki;krope1ki
kropelkę;kropelke
kropelkę;krope1kę
kropelkę;krope1ke
krzeseł;krzesel
krzeseł;krzese1
krzeseł;krzesef
krzesła;krzesfa
krzesła;krzesla
krzesła;krzes1a
krzywą;krzywq
krócej;krocej
krótsza;krotsza
krótszego;krotszego
krótszej;krotszej
krótszych;krotszych
krótszym;krotszym
książki;ksiqzki
książki;ksiazki
książki;ksiązki
książki;ksiqżki
książki;ksiażki
kształcie;kszta1cie
kształcie;ksztafcie
kształcie;ksztalcie
kształt;ksztaft
kształt;kszta1t
kształt;ksztalt
która;ktora
któraś;ktoras
któraś;któras
któraś;ktoraś
które;ktore
którego;ktorego
któregokolwiek;ktoregokolwiek
któregokolwiek;któregoko1wiek
któregokolwiek;ktoregoko1wiek
której;ktorej
który;ktory
których;ktorych
którykolwiek;ktorykolwiek
którykolwiek;któryko1wiek
którykolwiek;ktoryko1wiek
którym;ktorym
którymi;ktorymi
którą;ktora
którą;ktorą
którą;ktorq
którą;którq
kubuś;kubus
kul;ku1
kula;ku1a
kulach;ku1ach
kulami;ku1ami
kule;ku1e
kuli;ku1i
kulą;ku1ą
kulą;ku1a
kulą;ku1q
kulą;kulq
kulę;ku1e
kulę;ku1ę
kupić;kupic
kupił;kupi1
kupił;kupif
kupił;kupil
kupowały;kupowa1y
kupowały;kupowaly
kupowały;kupowafy
kwadratów;kwadratow
kwotę;kwote
kół;ko1
kół;kof
kół;kóf
kół;kó1
kół;kól
kącie;kqcie
kąt;kqt
kąta;kqta
kątami;kqtami
kątem;kqtem
kątowi;kqtowi
kąty;kqty
kątów;kqtow
kątów;kątow
kątów;katow
kątów;kqtów
lasu;1asu
lat;1at
latach;1atach
led;1ed
lekarstwa;1ekarstwa
lesie;1esie
lewa;1ewa
lewej;1ewej
lewy;1ewy
lezącego;lezqcego
lezącego;lezacego
lezącego;1ezacego
lezącego;1ezqcego
lezącego;1ezącego
lezącej;lezqcej
lezącej;lezacej
lezącej;1ezqcej
lezącej;1ezącej
lezącej;1ezacej
leż;1eż
leż;1ez
leżał;1ezał
leżał;1eza1
leżał;leza1
leżał;1eżał
leżał;leżaf
leżał;1ezal
leżał;1eżaf
leżał;1ezaf
leżał;lezaf
leżał;leżal
leżał;1eżal
leżał;leża1
leżał;lezał
leżał;1eża1
leżał;lezal
leżały;leza1y
leżały;lezafy
leżały;1eżaly
leżały;1ezały
leżały;1ezaly
leżały;1eża1y
leżały;1eza1y
leżały;leżaly
leżały;1eżafy
leżały;1ezafy
leżały;leża1y
leżały;1eżały
leżały;leżafy
leżały;lezały
leżały;lezaly
leży;1eży
leży;1ezy
leżą;1eżq
leżą;1ezq
leżą;1eza
leżą;1eża
leżą;1eżą
leżą;lezq
leżą;1ezą
leżą;leżq
leżące;1ezqce
leżące;lezace
leżące;leżace
leżące;1ezace
leżące;1ezące
leżące;1eżqce
leżące;1eżace
leżące;lezqce
leżące;leżqce
leżące;1eżące
leżących;leżacych
leżących;1ezqcych
leżących;1eżacych
leżących;1ezących
leżących;lezqcych
leżących;1eżących
leżących;leżqcych
leżących;1eżqcych
leżących;1ezacych
leżących;lezacych
liczb;1iczb
liczba;1iczba
liczbami;1iczbami
liczbie;1iczbie
liczbowej;1iczbowej
liczbowy;1iczbowy
liczby;1iczby
liczbą;1iczbq
liczbą;liczbq
liczbą;1iczba
liczbą;1iczbą
liczbę;1iczbe
liczbę;1iczbę
liczbę;liczbe
licznika;1icznika
liczności;licznosci
liczności;1iczności
liczności;1icznosci
liczony;1iczony
liczy;1iczy
liczymy;1iczymy
licząc;1iczqc
licząc;1icząc
licząc;liczac
licząc;liczqc
licząc;1iczac
linii;1inii
liniowa;1iniowa
linią;1inią
linią;1iniq
linią;1inia
linią;liniq
linię;1inię
linię;1inie
liter;1iter
litery;1itery
litrów;1itrow
litrów;1itrów
litrów;litrow
logarytmiczne;1ogarytmiczne
logarytmicznej;1ogarytmicznej
logarytmiczną;logarytmicznq
logarytmiczną;1ogarytmicznq
logarytmiczną;1ogarytmiczną
logarytmiczną;1ogarytmiczna
logarytmy;1ogarytmy
logo;1ogo
lokalne;1oka1ne
lokalne;1okalne
lokalne;loka1ne
lokat;1okat
lokaty;1okaty
losowania;1osowania
losowo;1osowo
losuje;1osuje
losujemy;1osujemy
losów;losow
losów;1osow
losów;1osów
loterii;1oterii
lub;1ub
lukrowane;1ukrowane
lukrowanego;1ukrowanego
lukrowanych;1ukrowanych
mają;majq
mającymi;majacymi
mającymi;majqcymi
maleje;ma1eje
malejąca;ma1ejqca
malejąca;ma1ejąca
malejąca;malejqca
malejąca;ma1ejaca
malejąca;malejaca
manipulator;manipu1ator
manipulatora;manipu1atora
masę;mase
małe;mafe
małe;ma1e
małego;mafego
małego;malego
małego;ma1ego
małych;malych
małych;mafych
małych;ma1ych
meteorolog;meteoro1og
metrów;metrow
miarę;miare
miał;miaf
miał;mial
miał;mia1
miało;miafo
miało;mialo
miało;mia1o
miały;mia1y
miały;miafy
miały;mialy
miejscowości;miejscowosci
miesiąc;miesiac
miesiąc;miesiqc
mieszkać;mieszkac
mieć;miec
minimalnym;minima1nym
minęły;minęly
minęły;minę1y
minęły;minely
minęły;minęfy
minęły;mine1y
minęły;mineły
minęły;minefy
mleczarskim;m1eczarskim
mniejszą;mniejszq
modeluje;mode1uje
mogą;mogq
mogą;moga
monotoniczności;monotonicznosci
monotoniczność;monotonicznośc
monotoniczność;monotonicznosc
monotoniczność;monotonicznosć
może;moze
możliwe;moz1iwe
możliwe;mozliwe
możliwe;moż1iwe
możliwie;moz1iwie
możliwie;mozliwie
możliwie;moż1iwie
możliwych;moż1iwych
możliwych;mozliwych
możliwych;moz1iwych
możliwym;moz1iwym
możliwym;mozliwym
możliwym;moż1iwym
możliwą;mozliwą
możliwą;możliwq
możliwą;moż1iwq
możliwą;moż1iwą
możliwą;moż1iwa
możliwą;mozliwq
możliwą;moz1iwą
możliwą;moz1iwa
możliwą;moz1iwq
możliwą;mozliwa
można;mozna
mroźnej;mroznej
muszą;muszq
mógł;mogł
mógł;móg1
mógł;mógl
mógł;mogf
mógł;mógf
mógł;mogl
mógł;mog1
męczył;meczyf
męczył;meczy1
męczył;męczyf
męczył;męczy1
męczył;męczyl
męczył;meczyl
męczył;meczył
nachylenia;nachy1enia
nachylona;nachy1ona
nachylone;nachy1one
nachyloną;nachy1onq
nachyloną;nachy1ona
nachyloną;nachylonq
nachyloną;nachy1oną
naczyń;naczyn
nadjeżdża;nadjeżdza
nadjeżdża;nadjezdza
nadjeżdża;nadjezdża
nagle;nag1e
najbliżej;najblizej
najbliżej;najb1iżej
najbliżej;najb1izej
najdłuższa;najd1uższa
najdłuższa;najdłuzsza
najdłuższa;najdfuższa
najdłuższa;najd1uzsza
najdłuższa;najdfuzsza
najdłuższa;najdluzsza
najdłuższa;najdluższa
najkrótsza;najkrotsza
najkrótszego;najkrotszego
najkrótszy;najkrotszy
najmniejszą;najmniejszq
największa;najwieksza
największe;najwieksze
największego;najwiekszego
największej;najwiekszej
największy;najwiekszy
największym;najwiekszym
największą;najwieksza
największą;największq
największą;najwiekszą
największą;najwiekszq
najwyżej;najwyzej
nalezą;naleza
nalezą;na1ezą
nalezą;na1eza
nalezą;nalezq
nalezą;na1ezq
należał;nalezal
należał;na1eżał
należał;na1ezal
należał;nalezaf
należał;na1ezaf
należał;naleza1
należał;należa1
należał;na1eża1
należał;na1eżaf
należał;należaf
należał;na1ezał
należał;na1eza1
należał;na1eżal
należał;nalezał
należał;należal
należy;nalezy
należy;na1ezy
należy;na1eży
należą;na1eżq
należą;naleza
należą;na1eża
należą;należa
należą;należq
należą;na1eżą
należą;na1ezą
należą;na1eza
należą;nalezq
należą;na1ezq
należący;należqcy
należący;należacy
należący;nalezqcy
należący;nalezący
należący;nalezacy
należący;na1ezący
należący;na1eżący
należący;na1ezacy
należący;na1eżqcy
należący;na1eżacy
należący;na1ezqcy
nalicza;na1icza
naliczana;na1iczana
naliczane;na1iczane
napełnienie;napelnienie
napełnienie;nape1nienie
napełnienie;napefnienie
napełnić;nape1nic
napełnić;napefnic
napełnić;napelnic
napełnić;napełnic
napełnić;nape1nić
napełnić;napefnić
napełnić;napelnić
napisać;napisac
napięcia;napiecia
naprawili;naprawi1i
naroża;naroza
narożniki;narozniki
naroży;narozy
narysować;narysowac
następnego;nastepnego
następnej;nastepnej
następnie;nastepnie
następnych;nastepnych
następująca;następujqca
następująca;następujaca
następująca;nastepująca
następująca;nastepujqca
następująca;nastepujaca
następujące;następujace
następujące;nastepujace
następujące;nastepujące
następujące;następujqce
następujące;nastepujqce
następująco;następujqco
następująco;następujaco
następująco;nastepujaco
następująco;nastepująco
następująco;nastepujqco
następujący;następujqcy
następujący;nastepujący
następujący;nastepujacy
następujący;następujacy
następujący;nastepujqcy
następującą;następujqcą
następującą;następujqcq
następującą;następujacq
następującą;nastepujqcą
następującą;następujacą
następującą;następujqca
następującą;nastepującą
następującą;nastepujacq
następującą;nastepujqcq
następującą;następujaca
następującą;nastepującq
następującą;nastepująca
następującą;nastepujqca
następującą;nastepujacą
następującą;nastepujaca
następującą;następującq
naszkicować;naszkicowac
naturalne;natura1ne
naturalnego;natura1nego
naturalnej;natura1nej
naturalnych;natura1nych
naturalnymi;natura1nymi
naturalną;natura1na
naturalną;natura1nq
naturalną;naturalnq
naturalną;natura1ną
nielezący;nie1ezacy
nielezący;nielezacy
nielezący;nielezqcy
nielezący;nie1ezqcy
nielezący;nie1ezący
nieobecności;nieobecnosci
nieparzystą;nieparzystq
niepodzielnych;niepodzie1nych
nierówne;nierowne
nierówności;nierowności
nierówności;nierównosci
nierówności;nierownosci
nierówność;nierowność
nierówność;nierownośc
nierówność;nierównośc
nierówność;nierownosc
nierówność;nierownosć
nierówność;nierównosc
nierówność;nierównosć
nieskończenie;nieskonczenie
nieskończonego;nieskonczonego
nieskończony;nieskonczony
nieskończonym;nieskonczonym
nieskracalnego;nieskraca1nego
niestały;niesta1y
niestały;niestafy
niestały;niestaly
nieważne;niewazne
niewiadomą;niewiadomq
niewymierności;niewymiernosci
niewymierność;niewymiernosc
niewymierność;niewymiernosć
niewymierność;niewymiernośc
niezależni;nieza1ezni
niezależni;nieza1eżni
